%time,vacuum
1735646003892245650,on
1735646009371993612,off
1735646022593316588,on
1735646027940030649,off
1735646035139943744,off
1735646041792785336,on
1735646047097289495,off
1735646047214921203,off
1735646060892290467,on
1735646064885978298,off
1735646064995688703,off
1735646077893031866,on
1735646082839618428,off
1735646102092037984,on
1735646107042619026,off
1735646118392237553,on
1735646122645237658,off
1735646122754109382,off
1735646134592355214,on
1735646139862086381,off
1735646152492743746,on
1735646156981418308,off
1735646170192520086,on
1735646174929314591,off
1735646200492221546,on
1735646205016468912,off
1735646216991755514,on
1735646221959509988,off
1735646239492635143,on
1735646244194480166,off
1735646261192385658,on
1735646265886184238,off
1735646279792680091,on
1735646285050067206,off
1735646307492634049,on
1735646313347173571,off
1735646333092730227,on
1735646337359450325,off
1735646358392600385,on
1735646363058916626,off
1735646378191896600,on
1735646383084935638,off
1735646396792665776,on
1735646401462417773,off
1735646427592553186,on
1735646431596920478,off
1735646443592839250,on
1735646448202855701,off
1735646448310591380,off
1735646461892813812,on
1735646466419472509,off
1735646477992464302,on
1735646482582227020,off
1735646497092808661,on
1735646501463990446,off
1735646519292276755,on
1735646524788366864,off
1735646538191866664,on
1735646542692824340,off
1735646542807184775,off
1735646554592109268,on
1735646559423211448,off
1735646572192170471,on
1735646577116971162,off
1735646589592334140,on
1735646594078609195,off
1735646612592905451,on
1735646618092413013,off
1735646633592536865,on
1735646637925504746,off
1735646653292538104,on
1735646657850175002,off
1735646669992434230,on
1735646674829810355,off
1735646674945197568,off
1735646688592548770,on
1735646693616539474,off
1735646714092344620,on
1735646718964774384,off
1735646719090373161,off
1735646734292349038,on
1735646738287608155,off
1735646738390842772,off
1735646751792699558,on
1735646756720380314,off
1735646756830166162,off
1735646769092136260,on
1735646773059980775,off
1735646779392689898,on
1735646781319600210,off
1735646793492135051,on
1735646797954851895,off
1735646815391515217,on
1735646820548417407,off
1735646820654409835,off
1735646836392290322,on
1735646841919791257,off
1735646854693003202,on
1735646859741609409,off
1735646859854986173,off
1735646874992141311,on
1735646880469162894,off
1735646892392736876,on
1735646898062935051,off
